title,release_date,year,tmdb_id,overview,original_language,genre_ids,poster_path,poster_url,backdrop_path,backdrop_url,rating,no_of_persons_voted,popularity,adult
The Man Whom the Trees Loved,2027-03-10,2027,1654511,"On vacation on a remote island, Sophie tries to salvage her marriage with Dave. But as he explores the forest surrounding the house, he becomes increasingly entranced by the trees. To Dave, they are beautiful, inspiring, and radiant. To Sophie, however, the trees begin to take on a darker, possibly evil presence, as she struggles to save her husband from being taken by the forest forever. Based on the novella by Algernon Blackwood.",en,"18,9648,27",/le4jMdHHdUUVwvflHo9DwoQBk2p.jpg,https://image.tmdb.org/t/p/w500/le4jMdHHdUUVwvflHo9DwoQBk2p.jpg,/h7XL4QWVkS8X0XxdrtpuCuBjs2z.jpg,https://image.tmdb.org/t/p/w500/h7XL4QWVkS8X0XxdrtpuCuBjs2z.jpg,0.0,0,0.4823,False
Sonic the Hedgehog 4,2027-03-11,2027,1401586,The fourth installment in the Sonic the Hedgehog film franchise. Plot TBA.,en,"35,28,10751,878",/t8uoHBODkFlSQJRL6qc4IclUBlH.jpg,https://image.tmdb.org/t/p/w500/t8uoHBODkFlSQJRL6qc4IclUBlH.jpg,/tt2lisqeBShFbGp1pDJzZyk9SRD.jpg,https://image.tmdb.org/t/p/w500/tt2lisqeBShFbGp1pDJzZyk9SRD.jpg,0.0,0,7.0416,False
The Chosen: Crucifixion,2027-03-12,2027,1487395,"The sixth season finale of the popular Biblical television series, following Jesus' arrest and trial leading up to His crucifixion.",en,18,,,,,0.0,0,1.1186,False
Untitled The Exorcist Film,2027-03-12,2027,1297467,A small-town rookie detective takes on a case involving inconceivable darkness.,en,27,/dxgcsMjFSJkNUbSjRpRs8UYui2H.jpg,https://image.tmdb.org/t/p/w500/dxgcsMjFSJkNUbSjRpRs8UYui2H.jpg,/bl4ym2v9TfJEoYM7flLtIHksXp8.jpg,https://image.tmdb.org/t/p/w500/bl4ym2v9TfJEoYM7flLtIHksXp8.jpg,0.0,0,1.6837,False
Threnodia,2027-03-13,2027,1407502,"A runaway couple takes on a journey of love, subconsciousness, and remorse; while believing that a homeless gay man is God.",en,18,/ZAjktQxprcxB4JuBRUT3oq1ocw.jpg,https://image.tmdb.org/t/p/w500/ZAjktQxprcxB4JuBRUT3oq1ocw.jpg,,,0.0,0,0.0286,False
BORN SEXY YESTERDAY: Decoding the Enigma of Beauty,2027-03-14,2027,1495044,"The phrase ""Born Sexy Yesterday"" is derived from the 1950 film ""Born Yesterday."" However beneath this superficial portrayal of some women lies a more complex understanding , revealing deeper narratives that resonate with many.  October 1, 1985. The chilling emptiness in Michele Avila's eyes. Her murder, a savage ballet of teenage fury, ripped through the town, festering wounds exposing the venomous underbelly of a seemingly innocent friendship. Jealousy, a serpent coiled in the heart of adolescence, struck with the force of a viper, revealing the terrifying depths of envy's reach. These weren't just girls; they were predators.  Women are born with many layers, a mix between good and evil. Ironically of all the positive tropes that can validate the existence of women, why is it that ""Born Sexy Yesterday"" is a trope that resonates with our male counterparts the most?",en,"99,80,18,9648,36",/sl9s7mANjzIyuZt7HWAu3SPYKi2.jpg,https://image.tmdb.org/t/p/w500/sl9s7mANjzIyuZt7HWAu3SPYKi2.jpg,/8S5vIlKMBsH48T8Wtr8UfUKK4Ek.jpg,https://image.tmdb.org/t/p/w500/8S5vIlKMBsH48T8Wtr8UfUKK4Ek.jpg,0.0,0,0.4277,False
Street Fighter 8 (Finish Him),2027-03-16,2027,1364206,"The final chapter. Balthasar turned all wimen on earth in to Merle and starts his conquest to rule the whole world. Nick and Luca the two only survivors of the deadly conflict angainst Balthasar, are trying to build a team that could stop the purple gigant from dominating the mordern world. Balthasar and the Boys are are pitted against each other in an epic battle that will determine the fate of Merle, Balthasar, the Boys and the future for even human beeing on earth.",en,"18,53,28",/aSdQbXMaQIIj6KZFTFnJrRFdAeL.jpg,https://image.tmdb.org/t/p/w500/aSdQbXMaQIIj6KZFTFnJrRFdAeL.jpg,,,0.0,0,0.114,False
Dive 2: The Journey Continues,2027-03-23,2027,1398195,"Vignesh, a skilled swimmer, thinks winning in the pool is all he needs for success. But when his teammate Aanya quits swimming to focus on studies, he starts rethinking his choices. Struggling with school and swimming, Vignesh feels lost until his mom encourages him to find balance. With hard work, he improves in both and learns that real success comes from giving your best in all areas of life.",en,18,/kYSn0aSLSvOdlwa7tx5scvc1Y3y.jpg,https://image.tmdb.org/t/p/w500/kYSn0aSLSvOdlwa7tx5scvc1Y3y.jpg,/6OBwh4J6NKLR5GxAwXHe6uCrp5e.jpg,https://image.tmdb.org/t/p/w500/6OBwh4J6NKLR5GxAwXHe6uCrp5e.jpg,0.0,0,0.116,False
Godzilla x Kong: Supernova,2027-03-25,2027,1288438,Features several new human characters alongside the beloved and iconic Titans Godzilla and Kong as they face off against a cataclysmic world-ending threat. Plot TBA.,en,"878,28,12",/gEGDDG6QMDFZ1sV32CGxvzaVPnv.jpg,https://image.tmdb.org/t/p/w500/gEGDDG6QMDFZ1sV32CGxvzaVPnv.jpg,/gLjZC1YGcujC82DF5subtEXWg7F.jpg,https://image.tmdb.org/t/p/w500/gLjZC1YGcujC82DF5subtEXWg7F.jpg,0.0,0,2.2806,False
The Resurrection of the Christ: Part One,2027-03-26,2027,532652,The first part of a two-part sequel to The Passion of the Christ. Plot TBA.,en,18,/qx3QVH1eVqtrdvL1dndXPhCktLq.jpg,https://image.tmdb.org/t/p/w500/qx3QVH1eVqtrdvL1dndXPhCktLq.jpg,/mH3W1Bmzx8wtF2zH204FnKRJOCx.jpg,https://image.tmdb.org/t/p/w500/mH3W1Bmzx8wtF2zH204FnKRJOCx.jpg,0.0,0,4.975,False
