year_film,film,tomatometer_rating,audience_rating,rt_release_month,rt_url,poster_url
2009,Inglourious Basterds,89.0,88.0,,https://www.rottentomatoes.com/m/inglourious_basterds,https://resizing.flixster.com/DLemRBRXqF0CvvXioxFCWBG2suo=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZkYWFiY2VjLTM2ODAtNGU2Yy05NDM2LTk3MGVlYjFlZjc1Yi53ZWJw
2009,Precious: Based on the Novel 'Push' by Sapphire,92.0,77.0,,https://www.rottentomatoes.com/m/precious,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p195165_p_v10_ae.jpg
2009,The Blind Side,66.0,85.0,,https://www.rottentomatoes.com/m/1212694-blind_side,https://resizing.flixster.com/p5W6G-TGOMIivxUYWi9xa_z1wI0=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzlhMWUwOWI5LWI4ZTAtNGFhYS1hNzYzLWI2M2Q5Y2U1ODk4YS5qcGc=
2009,The Hurt Locker,96.0,84.0,,https://www.rottentomatoes.com/m/the_hurt_locker,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p197175_p_v10_aa.jpg
2009,Up,98.0,90.0,,https://www.rottentomatoes.com/m/up,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p190662_p_v12_ay.jpg
2009,Up in the Air,90.0,79.0,,https://www.rottentomatoes.com/m/up_in_the_air_2009,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p3600392_p_v8_av.jpg
2010,127 Hours,93.0,85.0,,https://www.rottentomatoes.com/m/127_hours,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8236871_p_v10_ba.jpg
2010,Black Swan,85.0,84.0,,https://www.rottentomatoes.com/m/black_swan_2010,https://resizing.flixster.com/reW7yr9NqiOyj8njHA-L6MWiTuY=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzUxMDk1OGJmLWU0ZjEtNGMwYS1iODMzLWY0YjAxOGI3NzA1Ni5qcGc=
2010,Inception,87.0,91.0,,https://www.rottentomatoes.com/m/inception,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7825626_p_v10_ae.jpg
2010,The Fighter,91.0,89.0,,https://www.rottentomatoes.com/m/the_fighter_2011,https://resizing.flixster.com/FQZs2ADoIKn9nM1CO4zpOqds_-A=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RiNGI1ZmE5LTdmM2QtNGY4ZC04MjA5LTAzYTU5NmNjNDFlZi5qcGc=
2010,The Kids Are All Right,93.0,74.0,,https://www.rottentomatoes.com/m/10012141-kids_are_all_right,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8020470_p_v8_ar.jpg
2010,The King's Speech,94.0,92.0,,https://www.rottentomatoes.com/m/the_kings_speech,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8073374_p_v10_ad.jpg
2010,The Social Network,96.0,87.0,,https://www.rottentomatoes.com/m/the-social-network,https://resizing.flixster.com/SmUywWzlQcOaUEdbnh6F88PrlxE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRmNjEyZjdmLWM1ZDktNDFjNS1hYWIyLWU1ZjhmOTU2ODk0ZS5qcGc=
2010,Toy Story 3,98.0,90.0,,https://www.rottentomatoes.com/m/toy_story_3,https://resizing.flixster.com/F4qdcvTFMYoEmut3WmhBVmYeSVI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzlhZDg3ZjU1LTk3ZTAtNDMzMC04MzliLTNiMzE5YmQ3ZDQ4OC53ZWJw
2010,True Grit,95.0,85.0,,https://www.rottentomatoes.com/m/true_grit_2010,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8160526_p_v8_ae.jpg
2010,Winter's Bone,94.0,76.0,,https://www.rottentomatoes.com/m/10012136-winters_bone,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8034490_p_v12_aa.jpg
2011,Extremely Loud & Incredibly Close,45.0,61.0,,https://www.rottentomatoes.com/m/extremely_loud_and_incredibly_close,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8743169_p_v8_an.jpg
2011,Hugo,93.0,78.0,,https://www.rottentomatoes.com/m/hugo,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8403456_p_v10_aq.jpg
2011,Midnight in Paris,93.0,83.0,,https://www.rottentomatoes.com/m/midnight_in_paris,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8526590_p_v10_aa.jpg
2011,Moneyball,94.0,86.0,,https://www.rottentomatoes.com/m/moneyball,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8417791_p_v10_ag.jpg
2011,The Artist,95.0,87.0,,https://www.rottentomatoes.com/m/the_artist,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8725913_p_v8_aa.jpg
2011,The Descendants,88.0,79.0,,https://www.rottentomatoes.com/m/the_descendants_2011,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8701268_p_v12_aj.jpg
2011,The Help,75.0,89.0,,https://www.rottentomatoes.com/m/the_help,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8554431_p_v8_av.jpg
2011,The Tree of Life,86.0,60.0,,https://www.rottentomatoes.com/m/the_tree_of_life,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p7815546_p_v13_bc.jpg
2011,War Horse,74.0,74.0,,https://www.rottentomatoes.com/m/war_horse,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8618532_p_v8_ae.jpg
2012,Amour,93.0,82.0,,https://www.rottentomatoes.com/m/amour_2013,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9286157_p_v10_aj.jpg
2012,Argo,96.0,90.0,,https://www.rottentomatoes.com/m/argo_2012,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9128357_p_v10_an.jpg
2012,Beasts of the Southern Wild,87.0,76.0,,https://www.rottentomatoes.com/m/beasts_of_the_southern_wild,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9026955_p_v8_ap.jpg
2012,Django Unchained,87.0,92.0,,https://www.rottentomatoes.com/m/django_unchained_2012,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9287010_p_v12_at.jpg
2012,Les Misérables,70.0,79.0,,https://www.rottentomatoes.com/m/les_miserables_2012,https://resizing.flixster.com/1zLOrsw_MLsSBZqw8mpjTbdpUQE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzY5MDI2ZTQ5LTU2NDItNDBiZC04OTJiLWRkYTdkOWIyN2VmNC5qcGc=
2012,Life of Pi,86.0,84.0,,https://www.rottentomatoes.com/m/life-of-pi,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9227710_p_v10_ai.jpg
