year_film,film,film_key,release_month,query,status,matched_title,matched_vanity,matched_release_year,tomatometer_rating,audience_rating,poster_url,rt_url,match_score,match_reason,rt_updated_at,fetched_at,error_message
2006,The Departed,the departed,,The Departed,matched,The Departed,departed,2006,91,94,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p162564_p_v8_ag.jpg,https://www.rottentomatoes.com/m/departed,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T05:36:04.071Z,2026-04-10T00:05:42.712409+00:00,
2006,The Queen,the queen,,The Queen,matched,The Queen,the_queen,2006,97,76,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p162029_p_v8_aj.jpg,https://www.rottentomatoes.com/m/the_queen,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T14:39:26.210Z,2026-04-10T00:05:42.712409+00:00,
2007,Atonement,atonement,,Atonement,matched,Atonement,atonement,2007,83,80,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p167496_p_v11_am.jpg,https://www.rottentomatoes.com/m/atonement,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:46:47.016Z,2026-04-10T00:05:42.712409+00:00,
2007,Juno,juno,,Juno,matched,Juno,juno,2007,93,88,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p172418_p_v10_an.jpg,https://www.rottentomatoes.com/m/juno,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T07:11:46.799Z,2026-04-10T00:05:42.712409+00:00,
2007,Michael Clayton,michael clayton,,Michael Clayton,matched,Michael Clayton,michael_clayton,2007,90,69,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p166244_p_v13_ag.jpg,https://www.rottentomatoes.com/m/michael_clayton,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:26:39.610Z,2026-04-10T00:05:42.712409+00:00,
2007,No Country for Old Men,no country for old men,,No Country for Old Men,matched,No Country for Old Men,no_country_for_old_men,2007,93,86,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p170313_p_v10_as.jpg,https://www.rottentomatoes.com/m/no_country_for_old_men,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T01:09:58.519Z,2026-04-10T00:05:42.712409+00:00,
2007,There Will Be Blood,there will be blood,,There Will Be Blood,matched,There Will Be Blood,there_will_be_blood,2007,91,86,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p171565_p_v8_aa.jpg,https://www.rottentomatoes.com/m/there_will_be_blood,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T17:07:46.618Z,2026-04-10T00:05:42.712409+00:00,
2008,Frost/Nixon,frost nixon,,Frost/Nixon,matched,Frost/Nixon,frostnixon,2008,93,88,https://resizing.flixster.com/M1kUcMqjiT7DiYLOJ0lTMiy0mug=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZmYzgzOWY1LWZkNGMtNDgzOS04ZmNkLTk4YTIwMmJhZTVmYi5qcGc=,https://www.rottentomatoes.com/m/frostnixon,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:05:53.092Z,2026-04-10T00:05:42.712409+00:00,
2008,Milk,milk,,Milk,matched,Milk,milk,2008,93,89,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p181230_p_v12_ax.jpg,https://www.rottentomatoes.com/m/milk,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:04:44.529Z,2026-04-10T00:05:42.712409+00:00,
2008,Slumdog Millionaire,slumdog millionaire,,Slumdog Millionaire,matched,Slumdog Millionaire,slumdog_millionaire,2008,92,90,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p179969_p_v10_ae.jpg,https://www.rottentomatoes.com/m/slumdog_millionaire,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:02:39.635Z,2026-04-10T00:05:42.712409+00:00,
2008,The Curious Case of Benjamin Button,the curious case of benjamin button,,The Curious Case of Benjamin Button,matched,The Curious Case of Benjamin Button,curious_case_of_benjamin_button,2008,72,80,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p170920_p_v8_am.jpg,https://www.rottentomatoes.com/m/curious_case_of_benjamin_button,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-09T22:25:11.937Z,2026-04-10T00:05:42.712409+00:00,
2008,The Reader,the reader,,The Reader,matched,The Reader,reader,2008,63,79,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p188151_p_v10_ak.jpg,https://www.rottentomatoes.com/m/reader,205,"ratio=1.00, exact-title, exact-year, main-title, has-score",2026-04-08T21:03:04.523Z,2026-04-10T00:05:42.712409+00:00,
